,Publish Date,Afraid,Anxiety,Scared,Lonely,Stressed,Help,Failure,Death,Happy,Good,Depressed,University
0,2020-03-31,2,4,2,2,4,30,4,0,4,28,1,NYU
1,2020-04-30,3,1,4,1,2,57,4,0,5,42,0,NYU
2,2020-05-31,2,3,6,1,2,51,9,1,6,38,2,NYU
3,2020-06-30,2,2,2,1,3,29,3,0,1,13,1,NYU
4,2020-07-31,1,6,4,2,5,59,1,1,4,50,2,NYU
5,2020-08-31,2,14,7,4,2,54,6,0,9,47,4,NYU
6,2020-09-30,6,7,4,8,7,46,1,0,3,41,0,NYU
7,2020-10-31,1,8,3,2,2,44,0,0,6,37,2,NYU
8,2020-11-30,0,0,3,0,2,32,7,0,0,25,1,NYU
9,2020-12-31,0,6,4,2,3,45,2,0,0,47,2,NYU
10,2020-03-31,5,10,6,2,23,65,6,8,11,63,11,Cornell
11,2020-04-30,3,7,6,1,35,75,8,7,7,68,8,Cornell
12,2020-05-31,5,11,6,1,28,67,10,6,8,65,6,Cornell
13,2020-06-30,5,8,6,3,12,45,3,3,7,69,8,Cornell
14,2020-07-31,4,6,10,1,17,84,1,8,7,81,5,Cornell
15,2020-08-31,4,20,24,10,27,149,7,8,14,134,4,Cornell
16,2020-09-30,8,19,9,15,24,103,6,8,24,111,10,Cornell
17,2020-10-31,6,10,16,9,29,91,18,7,14,103,17,Cornell
18,2020-11-30,5,12,13,5,17,57,7,4,20,70,8,Cornell
19,2020-12-31,4,20,13,5,22,95,10,10,18,136,10,Cornell
20,2020-03-31,0,1,0,0,0,18,0,0,2,9,0,MIT
21,2020-04-30,1,1,2,0,2,15,0,0,1,8,0,MIT
22,2020-05-31,0,0,1,0,0,15,0,0,0,13,1,MIT
23,2020-06-30,0,0,0,0,1,3,0,0,0,13,1,MIT
24,2020-07-31,2,0,0,0,0,12,1,0,0,4,0,MIT
25,2020-08-31,0,0,0,1,3,9,1,1,1,15,0,MIT
26,2020-09-30,0,2,0,0,1,8,1,0,0,6,0,MIT
27,2020-10-31,1,4,0,1,1,14,0,1,1,18,0,MIT
28,2020-11-30,0,1,0,0,0,10,0,1,1,7,1,MIT
29,2020-12-31,0,1,1,0,3,17,2,0,2,11,0,MIT
30,2021-01-31,0,3,0,0,0,14,0,0,4,11,0,MIT
31,2020-03-31,0,1,0,0,2,14,2,0,1,11,0,Harvard
32,2020-04-30,1,1,1,0,0,13,0,0,1,15,1,Harvard
33,2020-05-31,0,0,0,0,0,8,0,0,0,7,0,Harvard
34,2020-06-30,0,0,0,0,0,4,0,0,0,1,0,Harvard
35,2020-07-31,1,1,0,0,0,12,0,1,2,7,2,Harvard
36,2020-08-31,0,2,0,0,0,10,1,0,0,9,0,Harvard
37,2020-09-30,0,0,0,2,0,5,1,0,1,3,0,Harvard
38,2020-10-31,0,0,0,0,1,5,0,0,1,3,0,Harvard
39,2020-11-30,0,2,0,0,0,8,0,0,0,1,1,Harvard
40,2020-12-31,1,0,0,0,0,13,0,0,3,4,0,Harvard
41,2020-03-31,0,0,1,0,1,5,0,0,2,2,0,Princeton
42,2020-04-30,0,0,0,0,0,4,0,0,0,2,0,Princeton
43,2020-05-31,0,0,0,0,0,2,0,0,0,0,0,Princeton
44,2020-06-30,0,0,0,0,0,0,0,0,0,1,0,Princeton
45,2020-07-31,0,0,0,0,0,2,0,0,0,0,0,Princeton
46,2020-08-31,0,0,0,0,0,2,0,0,1,0,0,Princeton
47,2020-09-30,0,0,0,0,0,1,1,0,0,1,0,Princeton
48,2020-10-31,0,1,0,0,0,1,0,0,0,0,0,Princeton
49,2020-11-30,0,0,0,0,0,1,0,0,2,1,0,Princeton
50,2020-12-31,0,0,0,0,0,1,0,0,0,0,0,Princeton
51,2020-03-31,1,0,0,0,2,4,0,0,4,6,0,Yale
52,2020-04-30,0,1,1,0,0,6,0,0,2,5,0,Yale
53,2020-05-31,0,0,0,0,0,3,0,0,0,3,0,Yale
54,2020-06-30,0,0,0,0,0,0,0,0,0,2,0,Yale
55,2020-07-31,0,0,0,0,0,1,0,0,0,1,0,Yale
56,2020-08-31,0,0,0,1,0,6,0,0,1,5,0,Yale
57,2020-09-30,0,2,0,0,1,5,0,0,0,3,0,Yale
58,2020-10-31,1,2,0,0,1,12,0,2,1,7,1,Yale
59,2020-11-30,0,1,0,0,0,4,0,0,0,1,0,Yale
60,2020-12-31,1,2,1,0,2,12,0,1,3,7,1,Yale
